,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,evaluated_users,Coverage@10
Content-Based (TF-IDF),0.03277027027027027,0.012599729652340798,0.039097342718128265,0.02787162162162162,0.022192274277715827,0.03680392097696843,592,0.46609936865220974
CF — SVD,0.015540540540540543,0.005848096739837305,0.016564174171240776,0.015202702702702704,0.012467073602806885,0.018176652836544266,592,0.05709580016469942
CF — NeuMF,0.1969594594594595,0.09626567667665689,0.2173612588930996,0.16672297297297298,0.16044241970308837,0.21733344455298464,592,0.16909140818007137
Popularity baseline,0.15371621621621623,0.06681172756010895,0.17468350959722911,0.1248310810810811,0.10136000429011066,0.16531979467697822,592,0.013450452923414768
